Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Haadyao Bayview Resort & Spa (SHA Plus+),376,3 star,"7.2
Very good
1,498 reviews","English, Burmese, Chinese [Mandarin], Lao, Thai","1,498 reviews","57 Moo 8 Haad Yao Beach, Suratthani, Haad Salad, Ko Pha-ngan, Thailand, 84280",3,196,1,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,0,7.4,6.8,7.7,7.1,6.8
Long Bay Resort,258,3 star,"8.0
Excellent
418 reviews","English, Burmese, Thai",418 reviews,"58/5 Moo 8, Haad Yao, Haad Salad, Ko Pha-ngan, Thailand, 84280",1,220,32,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,0,8.1,7.5,8.6,7.1,8.3
Haad Son Resort,163,3 star,"7.5
Very good
544 reviews","English, Thai",544 reviews,"85 Moo 8 , Haad Son, Ko Pha-ngan, Thailand, 84280",2,57,2,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,0,7.6,7.3,8.3,7.1,7.5
Phangan Cove Resort,272,2 star,"8.0
Excellent
86 reviews","English, Spanish, Thai",86 reviews,"Sri Thanu, Ko Pha-ngan, Thailand",16,,,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,0,7.6,7.8,8.8,10.0,8.2
Cookies Salad Hotel,391,3 star,"8.4
Excellent
2,002 reviews","English, Thai","2,002 reviews","61/8 Moo 8, Haad Salad, Ko Pha-ngan, Thailand, 84280",3,27,1,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,0,8.2,8.1,8.3,8.1,8.6
Salad Hut Resort (SHA Plus+),382,3 star,"8.9
Excellent
367 reviews","English, Burmese, Thai",367 reviews,"61/3 Moo 8 Haad Salad, Haad Salad, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,0,9.1,8.7,9.0,8.6,9.3
Tharathip Resort Koh Phangan (SHA Extra Plus),179,3 star,"7.3
Very good
531 reviews","English, Burmese, Thai",531 reviews,"73 Moo 4 Wok Tum., Wok Tum, Ko Pha-ngan, Thailand, 84280",1,220,45,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,0,7.5,7.2,6.7,7.3,7.5
Bounty Resort,141,3 star,"7.9
Very good
254 reviews","English, Thai",254 reviews,"85/1 Moo 8 , Haad Salad, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False,False,0,7.6,7.3,7.6,7.1,7.8
Beck's Resort,172,2 star,"7.6
Very good
358 reviews","English, Chinese [Cantonese], Chinese [Mandarin], Thai",358 reviews,"152/1 Moo 1, Wok Tum, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0,7.5,7.4,8.1,7.8,7.5
Tiki Beach Koh Phangan,JMI,3.5 star,"8.4
Excellent
213 reviews","English, Burmese, Dutch, Thai",213 reviews,"Moo 1, 145/11, Baan Tai, Thong Sala, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,6,8.3,8.2,8.5,9.0,8.6
Shanti Boutique Hotel,163,3 star,"8.8
Excellent
213 reviews","English, Thai",213 reviews,"1/2 Moo 8 Sri Thanu, Koh Phangan Suratthani, Sri Thanu, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0,9.0,8.7,8.6,9.0,9.7
Phangan Paragon Resort & Spa,136,3 star,"8.1
Excellent
37 reviews","English, Norwegian, Thai",37 reviews,"81/12 Moo 8 , Haad Chao Phao, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,0,8.0,8.2,8.5,8.3,8.6
Baan Kiao,163,3 star,"9.1
Exceptional
23 reviews","English, Thai",23 reviews,"54/16 Moo8 Haad Yao, Koh Phangan, Suratthani, Haad Salad, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,0,8.7,8.6,8.9,8.8,9.7
Dreamland Resort,199,3 star,"7.9
Very good
681 reviews","English, Thai",681 reviews,"11 Moo 5, Thong Nai Pan Yai, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,0,7.8,7.7,8.7,7.3,7.7
Tommy Resort (SHA Extra Plus),"1,220",3 star,"8.7
Excellent
542 reviews","English, Khmer, Thai",542 reviews,"90/13 M.6 Baan Tai, Haad Rin, Ko Pha-ngan, Thailand, 84280",1,1982,40,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,0,8.4,8.2,9.5,7.5,9.3
Dreamville Koh Phangan.,267,3 star,"9.4
Exceptional
224 reviews","English, Dutch, Spanish, Thai",224 reviews,"133 Moo 1 Koh Phangan, Thong Sala, Ko Pha-ngan, Thailand, 84280",,,,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,0,9.7,9.3,9.3,9.7,9.4
Pure Laguna Residence by Nice Sea Resort,119,0 star,"7.9
Very good
60 reviews","English, Thai",60 reviews,"Srithanu, Sri Thanu, Ko Pha-ngan, Thailand, 84280",,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,8.1,7.7,8.8,8.4,7.6
