Name,Price,Stars,Score,SpokenLanguages,Reviews,Location,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score,Origin
Praya Palazzo Hotel (SHA Plus+),287,4.0,8.6,"English, Dutch, Thai",640,"757/1 Somdej Prakinklao Soi 2, Bangyeekhan, Bangkok Riverside, Bangkok, Thailand, 10700",0,0,0,1,1,1,0,1,0,1,1,1,0,0,0.0,8.8,8.3,8.4,8.7,9.2,Bangkok
Bed by City Surawong Patpong,95,3.0,8.5,"English, Thai",1585,"59-59/1-5 Soi Suk San, Sap Road, Si Phraya Sub-district, Bang Rak District, Bangkok., Silom, Bangkok, Thailand, 10500",0,0,0,0,0,1,0,1,0,0,1,1,0,0,0.0,8.8,8.1,8.1,8.0,8.8,Bangkok
BoonRumpa Accommodation,123,3.0,8.0,"English, Thai",252,"35 ซอย พหลโยธิน 2, Chatuchak, Bangkok, Thailand, 10400",0,0,0,0,1,0,0,1,0,0,1,0,0,0,5.0,8.1,7.6,8.4,7.8,8.1,Bangkok
The Myth-Sud Sathorn,139,3.0,8.8,"English, Thai",300,"235, 237, 239 Sathorn Tai Rd., Yannawa, Sathorn, Bangkok. 10120 Thailand, Bangkok Riverside, Bangkok, Thailand, 10120",1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,9.2,8.1,8.9,9.3,9.3,Bangkok
Orion Rooms Sukhumvit 11,90,3.0,7.2,"English, Thai",1070,"33/25-26 Soi Sukhumvit 11 (Chaiyot), Sukhumvit Road, Klong Toey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,0,1,0,1,0,1,0,1,0,0,0.0,7.0,6.3,7.9,7.6,7.7,Bangkok
B2 Bangkok Hotel - Srinakarin,63,3.0,7.9,"English, Thai",4229,"12 Srinakharin 2 (Kornkanok) Rd., Hua Mark, Bangkapi, Ramkhamhaeng, Bangkok, Thailand, 10240",0,0,0,1,0,1,0,1,0,0,0,1,0,0,34.0,8.1,7.7,7.7,7.7,7.9,Bangkok
Lee Nova Place,72,3.0,7.8,"English, Chinese [Mandarin], Thai",424,"83 Soi Supapong1 Yak 3, Srinakarin Rd., Nongbon, Pravate, Bang Na, Bangkok, Thailand, 10250",0,0,0,0,1,1,1,1,0,0,0,1,0,0,4.0,8.0,7.9,7.5,4.8,7.9,Bangkok
Happy Station Hostel,105,0.0,9.3,"English, Thai",320,"477/9-10 Rama IV, Rongmuang, Pathumwan, China Town, Bangkok, Thailand, 10330",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,9.5,9.1,9.6,9.6,9.4,Bangkok
The Shade House,96,3.0,7.9,"English, Thai",295,"10 Soi Bang Na-Trat 4 Bang Na, Bang Na, Bangkok, Thailand, 10260",0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.0,8.1,7.2,8.2,8.1,8.1,Bangkok
Luk Hostel,99,1.5,8.8,"English, Portuguese, Spanish, Thai",258,"382-384-386 Vanich 1 Road Kwan Chakkrawat Khet Samphanthawong, China Town, Bangkok, Thailand, 10100",0,0,0,0,1,1,0,1,0,1,1,1,0,0,3.0,8.8,8.6,9.0,9.2,8.9,Bangkok
