Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Grow Residences,93,4 star,"8.0
Excellent
483 reviews","English, Thai",483 reviews,"Min Buri, Bangkok, Thailand",2011,,,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,0,8.2,7.8,8.1,7.7,8.2
Qiss Residence by Bliston (SHA Extra Plus),JMI,4 star,"8.6
Excellent
150 reviews","English, Thai",150 reviews,"3803 Rama IV, Khwaeng Phra Khanong Bangkok Krung Thep Maha Nakhon , Sukhumvit, Bangkok, Thailand, 10110",1,2015,55,True,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True,0,9.2,8.7,7.5,9.4,8.8
Hotel Z zpaze,77,3 star,"8.7
Excellent
495 reviews","English, Thai",495 reviews,"58/2 Soi Bangna-Trat 23 Debaratana Road, Bang Na, Bangkok, Thailand, 10260",,,,True,True,False,False,False,True,False,True,False,True,True,True,False,False,False,False,23,9.2,8.6,9.2,9.1,9.1
Hop Inn Bangkok Krung Thonburi Station,87,2 star,"8.9
Excellent
332 reviews","English, Thai",332 reviews,"89/1 Krung Thonburi Road, Khlong Ton Sai Sub District, Khlong San District, Thonburi, Bangkok, Thailand, 10600",,,,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,9,9.7,8.5,9.6,9.4,9.3
The Athenee Hotel a Luxury Collection Hotel Bangkok,742,5 star,"8.9
Excellent
869 reviews","English, Arabic, Chinese [Cantonese], Chinese [Mandarin], Filipino, French, Hindi, Japanese, Korean, Spanish, Thai",869 reviews,"61 Wireless Road (Witthayu), Sukhumvit, Bangkok, Thailand, 10330",29,374,6,True,False,False,True,True,True,True,True,False,True,True,True,False,False,True,False,0,9.1,8.9,9.0,8.7,9.0
14 Residence,79,3 star,"8.2
Excellent
1,471 reviews","English, Thai","1,471 reviews","119 Moo 4 Suksawat, Bang Phueng, Phra Pradaeng, Samut Prakan, Thailand. 10130, South Thonburi, Bangkok, Thailand, 10130",,,,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,20,8.6,8.0,8.3,7.9,8.1
Marwin Villa,263,3 star,"8.5
Excellent
2,287 reviews","English, Filipino, Thai","2,287 reviews","37 Soi Phetchaburi 15, Pratunam, Bangkok, Thailand, 10400",,,,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,25,8.9,7.9,8.6,8.8,8.7
Thomson Residence Hotel,131,3 star,"8.2
Excellent
1,374 reviews","English, Chinese [Mandarin], Thai","1,374 reviews","42 Bangna-Trad Soi 4, Bangna-Trad Rd., Bangna, Bang Na, Bangkok, Thailand, 10260",220,,,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,9,8.7,8.2,7.8,8.6,8.5
Crystal Srivaree Suvarnabhumi Hotel,95,4 star,"8.3
Excellent
101 reviews","English, Thai",101 reviews,"81,83 Ladkabang 54 ,Soi 13 Su Chai 4 Rd, Sisa Chorakhe Noi, Bang Sao Thong District, Suvarnabhumi Airport, Bangkok, Thailand, 10540",4,137,1,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,False,0,9.0,8.8,7.9,8.6,8.8
Nine Plus Loft,68,2 star,"7.9
Very good
747 reviews","Free Wi-Fi in all rooms!, Internet",747 reviews,"44/32, Sukhumvit 46, Phra Khanong,, Sukhumvit, Bangkok, Thailand, 10100",,,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,15,7.9,7.3,8.7,7.6,8.3
V One Pride - Sukhumvit 22 Bangkok,94,3 star,"8.5
Excellent
590 reviews","English, Thai",590 reviews,"601-603,Sukhumvit Soi 22, Khlong Toei,Bangkok, Thailand-10110, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,True,True,False,True,True,True,False,False,False,False,0,8.8,8.1,8.2,9.0,8.8
Mybed Ratchada Hotel (SHA Extra Plus),83,2 star,"8.3
Excellent
3,520 reviews","English, Thai","3,520 reviews","8/64 Junkasem Chatuchak, Ratchada, Bangkok, Thailand, 10900",,,,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,14,8.2,8.0,8.9,8.0,8.3
The Connex Asoke,215,2.5 star,"8.2
Excellent
438 reviews","English, Thai",438 reviews,"6/1 Ratchadapisek road, Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",,,,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,0,8.3,7.2,9.2,8.4,8.0
GM Serviced Apartment (SHA Certified),148,4 star,"8.4
Excellent
719 reviews","English, Arabic, Hindi, Japanese, Thai",719 reviews,"47 Sukhumvit soi 20., Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",75,2012,220,False,False,False,False,True,True,True,True,True,False,True,True,False,False,False,True,3,8.7,8.3,8.1,8.7,8.5
Siam Star Hotel,85,2.5 star,"7.2
Very good
3,035 reviews","English, Thai","3,035 reviews","7 ซอย 5, Pratunam, Bangkok, Thailand, 10400",,,,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,6,6.7,6.1,8.0,6.9,6.8
